Cód. Perfil;Sigla;Nome Empresarial;CNPJ BÁSICO;CNPJ;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22;média
71464;MAXI GRAFICA;MAXI GRAFICA E EDITORA LTDA;82523317;82.523.317/0001-77;148,516;150,367;174,64;140,412;124,05;124,668;114,79;125,366;;;;;137,85
71467;JM;JM EMPREENDIMENTOS E PARTICIPACOES DE BENS LTDA;1260788;01.260.788/0001-38;66,406;56,561;39,031;20,613;20,967;0;15,964;0;;;;;27,44
71468;RODOCORDAS;RODOCORDAS INDUSTRIA E COMERCIO DE CORDAS LTDA.;81588071;81.588.071/0001-59;94,983;141,652;153,368;125,352;127,963;125,852;120,435;130,655;;;;;127,53
71486;BALESTRO;INDUSTRIA ELETROMECANICA BALESTRO LTDA;52770948;52.770.948/0002-00;290,47;286,731;306,869;267,467;307,932;291,549;300,592;331,586;;;;;297,9
71491;TEMPERTINS;TEMPERTINS INDUSTRIA E COMERCIO DE VIDROS LTDA;7360547;07.360.547/0001-47;58,936;52,186;68,755;60,938;69,121;66,032;62,317;65,496;;;;;62,97
71500;FUGA E PANORAMA;FUGA E PANORAMA INDUSTRIA DE COUROS LTDA;8857352;08.857.352/0001-70;118,437;115,124;137,338;139,955;146,244;139,529;142,334;150,923;;;;;136,24
71523;BOLLHOFF;BOLLHOFF SERVICE CENTER LTDA.;57879843;57.879.843/0001-27;372,652;371,095;411,746;375,637;376,671;365,632;381,078;392,867;;;;;380,92
71543;IGRAMAR;IGRAMAR - INDUSTRIA DE GRANITOS E MARMORES LTDA;1885369;01.885.369/0001-91;325,582;370,868;408,362;362,61;386,974;341,456;295,207;290,325;;;;;347,67
71546;HOTEL IBIS MA;WINDOWS HOTEIS E TURISMO LTDA;9456657;09.456.657/0002-13;80,114;76,661;79,738;86,988;89,128;93,918;94,426;92,598;;;;;86,7
71548;TECNOSTEEL;METALURGICA TECNOSTEEL LTDA;7545610;07.545.610/0001-10;224,672;232,838;253,355;175,833;221,257;243,317;209,983;0;;;;;195,16
71549;SUPERMERCADO FLUMINENSE;SUPERMERCADO FLUMINENSE DE ITAPERUNA LTDA;32336794;32.336.794/0001-55;757,954;690,673;792,428;722,856;656,648;596,81;635,723;695,536;;;;;693,58
71550;COOPEAVI;COOPERATIVA AGROPECUARIA CENTRO SERRANA;27942085;27.942.085/0001-83;134,683;139,467;154,871;136,778;143,211;135,498;138,2;148,364;;;;;141,38
71551;ORTOBOM FLEXCOIL;INDUSTRIA BAIANA DE COLCHOES E ESPUMAS LTDA;2748342;02.748.342/0001-10;112,471;91,719;105,917;98,636;103,716;91,942;109,28;117,175;;;;;103,86
71555;BOA ESPERANCA;BOA ESPERANCA INDUSTRIA COM E EXPORT DE MADEIRAS LTDA;95758017;95.758.017/0001-19;150,903;211,345;237,328;226,733;231,775;222,653;239,267;243,43;;;;;220,43
71558;CONDOMINIO MEDIC LIFE;CONDOMINIO MEDIC LIFE;15682436;15.682.436/0001-85;167,202;163,302;181,114;158,256;135,272;118,073;129,641;137,781;;;;;148,83
71561;PROENCA;LOPES SUPERMERCADOS LTDA;53963443;53.963.443/0001-44;1.021,20;943,473;1.089,70;1.022,67;876,395;860,159;1.228,07;1.193,41;;;;;1.029,39
71564;UNISUPER SUPERMERCADO;UNISUPER UNIAO SUPERMERCADO LTDA;72995475;72.995.475/0001-76;963,999;883,668;997,076;909,79;849,125;806,501;856,271;840,139;;;;;888,32
71565;VCSA LIMEIRA;VOTORANTIM CIMENTOS S.A.;1637895;01.637.895/0001-32;64,642;62,596;75,228;69,618;78,696;77,736;83,907;78,363;;;;;73,85
71569;BIOCHIMICO CORDOVIL;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA;33258401;33.258.401/0001-03;390,048;360,397;420,966;378,232;356,332;319,326;352,815;355,652;;;;;366,72
71584;POLY FFS;POLY FFS EMBALAGENS PLASTICAS LTDA.;7046827;07.046.827/0001-85;372,27;219,632;375,495;367,968;411,923;351,412;314,677;189,168;;;;;325,32
71585;FRIGOFAR;FRIGOFAR INDUSTRIA DE ALIMENTOS LTDA;8725249;08.725.249/0001-76;133,868;129,476;153,685;132,425;134,394;131,183;127,315;127,191;;;;;133,69
71586;GELOTIMO BH;MEGA GELOTIMO MINAS LTDA;14286194;14.286.194/0001-48;191,083;187,639;252,982;266,733;184,045;179,212;185,845;218,528;;;;;208,26
71598;TMKT;TMKT SERVICOS DE MARKETING LTDA.;3790408;03.790.408/0001-00;282,032;252,428;293,082;203,713;172,314;151,262;161,764;149,688;;;;;208,29
71608;IBMEC;IBMEC EDUCACIONAL LTDA.;4298309;04.298.309/0001-60;167,049;201,081;339,068;232,149;211,306;160,63;139,209;194,515;;;;;205,63
71609;DAMASIO LIBERDADE;DAMASIO EDUCACIONAL LTDA.;7912676;07.912.676/0001-09;41,382;43,237;52,713;42,112;41,46;33,685;29,824;29,395;;;;;39,23
71610;VLI MULTIMODAL;VLI MULTIMODAL S.A.;42276907;42.276.907/0001-28;175,052;158,492;159,7;199,069;199,183;221,683;241,52;185,665;;;;;192,55
71611;ENGIE CVE  I5;ENGIE COMERCIALIZADORA VAREJISTA DE ENERGIA LTDA.;26263019;26.263.019/0001-14;103,76;127,789;150,426;146,666;150,913;146,315;136,157;163,559;;;;;140,7
71615;RCM CABOS;R C M CABOS ELETRICOS LTDA;11792286;11.792.286/0001-01;196,84;176,266;229,394;222,705;264,469;247,132;253,267;295,294;;;;;235,67
71624;YAMAHA;YAMAHA MOTOR DA AMAZONIA LTDA;4817052;04.817.052/0001-06;2.364,22;2.623,48;2.842,21;2.554,03;3.000,77;2.674,81;2.856,71;3.422,77;;;;;2.792,37
71625;RONDELLI E RONDELLI;RONDELI & RONDELLI LTDA;1993183;01.993.183/0001-56;232,724;216,954;236,273;228,183;217,881;199,443;193,158;196,5;;;;;215,14
71627;FAIG;FAIG - FUNDICAO DE ACO INOX LTDA.;3122300;03.122.300/0001-31;197,687;201,456;237,269;174,933;178,117;160,31;0;0;;;;;143,72
71628;FNS;FERROVIA NORTE SUL S/A;9257877;09.257.877/0001-37;283,245;691,358;643,507;685,961;717,659;694,29;689,504;678,827;;;;;635,54
71629;PASSAMANARIA;PASSAMANARIA DO NORDESTE SA;7295413;07.295.413/0001-90;288,185;242,373;272,173;310,612;374,109;402,244;425,03;470,866;;;;;348,2
71631;ANTEX CL S;ANTEX LTDA;3129424;03.129.424/0001-49;2.036,24;1.989,14;2.170,29;2.201,79;2.253,88;2.254,71;2.425,29;2.501,15;;;;;2.229,06
71632;TIVOLI MOFARREJ;POJUCA S/A;13250998;13.250.998/0005-58;383,336;359,898;417,365;368,274;343,635;325,435;348,196;346,676;;;;;361,6
71648;USINA IRACEMA CL;SAO MARTINHO S/A;51466860;51.466.860/0029-57;339,252;304,878;376,043;80,307;20,119;8,545;45,085;45,955;;;;;152,52
71650;SAFRAN;SAFRAN HELICOPTER ENGINES INDUSTRIA E COMERCIO DO BRASIL LTDA;48090120;48.090.120/0001-53;173,221;154,818;187,093;151,804;142,395;119,565;134,025;140,115;;;;;150,38
71652;MADEIREIRA MARACANA FLORESTAL;MADEIREIRA MARACANA FLORESTAL LTDA;7199149;07.199.149/0001-90;312,522;332,131;338,5;295,677;328,75;280,769;358,397;275,949;;;;;315,34
71653;PERFAL;PERFAL INDUSTRIA DE ESQUADRIAS COMERCIO E SERVICOS LTDA;4379001;04.379.001/0001-40;60,017;72,918;63,776;61,563;78,313;78,585;76,97;76,523;;;;;71,08
